Date,Open,High,Low,Close,Adj Close,Volume
2025-04-09,159.73515745740752,160.29680164368617,159.17351327112888,159.73515745740752,159.73515745740752,2060150
2025-04-10,159.73515745740752,160.7167776544822,158.43125363780598,159.41287383488066,157.81874509653184,1864395
2025-04-11,159.41287383488066,160.13859330207072,158.48901296884003,159.2147324360301,157.6225851116698,1648382
2025-04-14,159.2147324360301,161.47282272473964,158.39650722291893,160.65459751162848,159.0480515365122,2091746
2025-04-15,160.65459751162848,161.65137758522158,159.42524063392486,160.42202070751796,158.8178005004428,1992530
2025-04-16,160.42202070751796,161.49833670159884,156.3727196311433,157.44903562522418,154.3000549127197,1226561
2025-04-17,157.44903562522418,158.90286892236279,156.68089340346123,158.13472670059983,154.97203216658784,1218016
2025-04-18,158.13472670059983,159.69721238976288,156.06553609860805,157.6280217877711,154.47546135201569,2417404
2025-04-21,157.6280217877711,159.09427429575382,155.75644763397958,157.2227001419623,154.07824613912305,1821131
2025-04-22,157.2227001419623,158.77066314098528,155.9294461093192,157.47740910834216,154.3278609261753,1273346
2025-04-23,157.47740910834216,158.74200088297556,156.69944950610258,157.96404128073598,154.80476045512125,2735139
2025-04-24,157.96404128073598,161.7742533989302,156.51199936446494,160.32221148265916,157.11576725300597,1943370
2025-04-25,160.32221148265916,162.76300616219302,159.2388999748191,161.67969465435297,158.4461007612659,2038728
2025-04-28,161.67969465435297,163.46775163264442,160.14259578815975,161.9306527664512,158.69203971112216,1927469
2025-04-29,161.9306527664512,163.2987994981832,159.08868200509673,160.45682873682873,155.64312387472387,2738448
2025-04-30,160.45682873682873,161.324459118504,157.57619436283755,158.44382474451282,152.1060717547323,2334481
2025-05-01,158.44382474451282,159.47898021604462,157.92641256994008,158.96156804147188,151.01348963939827,2508835
2025-05-02,158.96156804147188,162.5175999456589,158.0787340055724,161.6347659097594,151.93667995517384,2295285
2025-05-05,161.6347659097594,162.41189439346292,160.96816182282058,161.74529030652408,152.04057288813263,1662857
2025-05-06,161.74529030652408,162.26284838243842,161.0368532911656,161.55441136707995,151.86114668505513,1947072
2025-05-07,161.55441136707995,163.940056677054,160.28059224485028,162.66623755482433,152.90626330153486,1210521
2025-05-08,162.66623755482433,164.04818854991896,158.35785195772513,159.73980295281976,150.15541477565057,2071460
2025-05-09,159.73980295281976,161.18233171148492,157.6952986389336,159.13782739759876,149.5895577537428,2355180
2025-05-12,159.13782739759876,161.4933151288129,157.7939528692792,160.14944060049334,150.54047416446372,2049765
2025-05-13,160.14944060049334,162.86000123699478,159.23657749902324,161.94713813552468,152.2303098473932,1412492
2025-05-14,161.94713813552468,162.44124345386143,160.98843953562618,161.48254485396293,151.79359216272516,2327035
2025-05-15,161.48254485396293,163.67728342682662,160.08157113748555,162.27630971034924,150.9169680306248,1879002
2025-05-16,162.27630971034924,164.0919318399303,160.99479250770096,162.81041463728204,149.78558146629948,1766285
2025-05-19,162.81041463728204,165.02040591628636,162.23918192634136,164.4491732053457,151.29323934891804,1370395
2025-05-20,164.4491732053457,165.5036341165731,161.13010679779177,162.18456770901918,149.20980229229764,2503654
2025-05-21,162.18456770901918,164.680333389399,160.8800246476618,163.37579032804163,150.3057271017983,2677028
2025-05-22,163.37579032804163,164.49372837571792,159.19545022145212,160.3133882691284,147.48831720759816,2012512
2025-05-23,160.3133882691284,161.63161465781582,153.81450727393107,155.13273366261848,142.722114969609,2172908
2025-05-26,155.13273366261848,156.6351321456162,152.47313593202213,153.97553441501987,140.1177363176681,2139775
2025-05-27,153.97553441501987,154.66399017513726,151.54486218887453,152.23331794899192,138.53231933358265,2090887
2025-05-28,152.23331794899192,154.41493770560479,151.76559425288875,153.9472140095016,140.09196474864646,1348733
2025-05-29,153.9472140095016,155.74955489201707,153.4633014234472,155.26564230596267,141.29173449842602,2619695
2025-05-30,155.26564230596267,155.97577513877792,152.21329178635753,152.92342461917278,139.16031640344724,2550992
2025-06-02,152.92342461917278,155.52344124165307,151.98926191235896,154.58927853483925,140.67624346670374,2688165
2025-06-03,154.58927853483925,155.77314252102397,151.48998581726607,152.6738498034508,138.9332033211402,2407795
2025-06-04,152.6738498034508,153.32090300778376,151.8852053651864,152.53225856951937,138.80435529826264,2246371
2025-06-05,152.53225856951937,153.18304517559284,151.3418454389679,151.99263204504138,136.79336884053725,1983886
2025-06-06,151.99263204504138,153.37856530199988,150.85012502013436,152.23605827709287,137.01245244938357,1235224
2025-06-09,152.23605827709287,155.09554244785775,150.97925559157534,153.83873976234023,138.4548657861062,2313693
2025-06-10,153.83873976234023,156.17295415380602,152.77149759444512,155.10571198591092,139.59514078731982,1310997
2025-06-11,155.10571198591092,156.6187252752876,154.30266595370125,155.81567924307794,138.67595452633935,1211130
2025-06-12,155.81567924307794,158.08731270619833,154.8501305735981,157.1217640367185,139.83836999267947,2363482
2025-06-13,157.1217640367185,158.95535735289158,156.2633223150893,158.0969156312624,140.70625491182352,2539192
2025-06-16,158.0969156312624,158.6765091699786,156.29829000076887,156.87788353948508,139.62131635014174,2062937
2025-06-17,156.87788353948508,157.65288657940562,154.71608133351396,155.4910843734345,138.3870650923567,2612707
2025-06-18,155.4910843734345,156.80342749564488,153.28532940154508,154.59767252375548,137.59192854614238,1616286
2025-06-19,154.59767252375548,156.42601757279,153.7696509844201,155.59799603345462,138.4822164697746,2364912
2025-06-20,155.59799603345462,156.12178162090976,154.60929032686468,155.13307591431982,136.51710680460144,1897598
2025-06-23,155.13307591431982,160.2786840931208,154.64588059023225,159.79148876903324,139.01859522905892,2513887
2025-06-24,159.79148876903324,160.889275259634,157.07790465190217,158.17569114250293,137.61285129397754,2289353
2025-06-25,158.17569114250293,159.0153650447503,155.18600406012828,156.02567796237565,135.74233982726682,1424248
2025-06-26,156.02567796237565,158.23465554820126,155.35966392317854,157.56864150900415,137.0847181128336,1285508
2025-06-27,157.56864150900415,161.48759841920284,156.5232086672242,160.44216557742288,139.58468405235791,1784018
2025-06-30,160.44216557742288,162.31507439780287,159.62034951793214,161.49325833831213,138.88420217094844,1997838
2025-07-01,161.49325833831213,163.8183892849986,160.90359382484382,163.2287247715303,140.37670330351605,1941961
2025-07-02,163.2287247715303,167.8363265704988,161.60728074771626,166.21488254668478,142.9447989901489,2310138
2025-07-03,166.21488254668478,167.76567848214955,164.4936534229464,166.04444935841119,141.1377819546495,2532369
2025-07-04,166.04444935841119,166.80800267615356,162.35653251318368,163.12008583092606,137.02087209797787,1839885
2025-07-07,163.12008583092606,164.70337052847114,160.47269807425263,162.05598277179772,136.12702552831007,2443330
2025-07-08,162.05598277179772,165.12676173695763,160.9685051539912,164.03928411915115,136.15260581889544,1207170
2025-07-09,164.03928411915115,164.9898938269502,160.1575644175442,161.10817412534325,133.7197845240349,2259801
2025-07-10,161.10817412534325,162.7660471302298,159.543962003936,161.20183500882254,133.7975230573227,1993833
2025-07-11,161.20183500882254,163.0849436776675,159.85953204350164,161.7426407123466,132.62896538412423,2343374
2025-07-14,161.7426407123466,163.06359584081028,159.80543309651026,161.12638822497394,132.12363834447865,1639430
2025-07-15,161.12638822497394,163.3294807792871,160.4247983671645,162.62789092147767,133.3548705556117,2377489
2025-07-16,162.62789092147767,164.5349335908424,161.94118862284498,163.8482312922097,134.35554965961197,2270565
2025-07-17,163.8482312922097,169.5515617804028,163.03451641248307,168.73784690067617,138.36503445855448,1971261
2025-07-18,168.73784690067617,171.64364499330892,167.1821931415644,170.08799123419715,139.47215281204168,2016416
2025-07-21,170.08799123419715,171.57048848261303,167.33139298596143,168.8138902343773,136.73925108984562,2784718
2025-07-22,168.8138902343773,170.41815101502934,166.0455950030359,167.64985578368794,135.79638318478723,2487374
2025-07-23,167.64985578368794,168.25643126235445,165.3223282392996,165.9289037179661,134.40241201155257,1393558
2025-07-24,165.9289037179661,168.53288619903944,165.35430420815177,167.9582866892251,136.04621221827233,2279203
2025-07-25,167.9582866892251,169.37589040245967,165.37196708160062,166.78957079483519,135.0995523438165,1915462
2025-07-28,166.78957079483519,167.97753091271312,165.48048666166056,166.6684467795385,135.0014418914262,1387446
2025-07-29,166.6684467795385,168.91893464062505,166.02552184080474,168.2760097018913,134.62080776151305,1416732
2025-07-30,168.2760097018913,169.69757567035518,165.35408459153626,166.77565056000014,133.42052044800013,1639005
2025-07-31,166.77565056000014,167.58173027706383,165.38006054001468,166.18614025707836,132.9489122056627,1260337
2025-08-01,166.18614025707836,167.43064186572357,161.1565967039286,162.40109831257382,129.92087865005905,2202123
2025-08-04,162.40109831257382,163.21067210353507,159.4171718360593,160.22674562702056,128.18139650161646,2401661
2025-08-05,160.22674562702056,160.75625174443087,158.58051121865896,159.11001733606926,127.28801386885542,2478399
2025-08-06,159.11001733606926,161.41380852397134,157.66723653928966,159.97102772719174,127.97682218175339,1289110
